house_name,sale_status,house_type,house_address,house_price
青城山居,下期待开,别墅,崇州/崇州/街子古镇大门旁（瑞龙桥南侧）,价格待定
华熙528艺术村,未开盘,住宅,锦江/三圣乡/成龙大道与银木街交汇处（成都七中育才学校三圣分校）,价格待定
滨江和城,未开盘,住宅,天府新区/麓山/麓山大道二段（成都实验外国语西区旁）,价格待定
隆鑫印象东方,未开盘,住宅,成华/成渝立交/东三环凯德广场魅力城店向东500米,价格待定
光华壹号,未开盘,住宅,青羊/万家湾/光华南二路(树德中学对面),价格待定
双楠悦天地,下期待开,住宅,武侯/红牌楼/二环路与武侯大道交汇处(伊藤双楠店南行500米),价格待定
德商御府天骄,未开盘,住宅,天府新区/南湖/华阳街道一心村二、五组，鹤林村四组,价格待定
中德麓府,未开盘,住宅,天府新区/麓山/麓山大道二段（新元素奥迪旗舰店旁）,价格待定
万科理想城,未开盘,住宅,郫都/犀浦/国宁东路与犀安路交汇处,13500
美泉悦府,在售,住宅,武侯/草金立交/武青西一路399号,13000
南湖世纪,在售,住宅,天府新区/南湖/南湖北路121号,13000
家益凤凰富居,未开盘,住宅,新都/大丰/大丰街道甫家一路289号,价格待定
成华奥园广场二期,未开盘,住宅,成华/万年场/跳蹬河南路18号,价格待定
嘉裕第六洲,未开盘,别墅,崇州/崇州/羊马镇崇阳大道2199号(金马湖大桥旁),价格待定
润富国际花园,在售,商业类,高新/金融城/交子大道998号,24500
新鸿基悦城,在售,住宅,天府新区/海洋公园/天府大道南段海昌南路99号,18000
南城都汇汇彩园,未开盘,住宅,高新/市一医院/荟锦路265号,价格待定
复地金融岛,未开盘,住宅,锦江/琉璃场/锦城大道与科华南路交汇处,价格待定
中海九号天地,在售,商业,高新/金融城/交子大道555号,30000
炎华置信花千集,未开盘,住宅,金牛/金牛万达/一环路北二段9号,价格待定
长冶南阳御龙府,在售,商业类,高新/远大/梓州大道4333号,12500
保利天悦,在售,商业类,武侯/火车南站/高攀路36-8号,25000
金山郡,在售,住宅,金堂/金堂/赵镇金山路1号（金堂中学外国语实验学校对面）,6850
阿玛尼艺术公寓,在售,住宅,锦江/莲花/顺江路335号（望江公园和川大旁）,350
实地海棠名著,在售,住宅,青白江/青白江/凤凰西七路28号,9500
和泓东28,在售,商业类,成华/东郊记忆/二仙桥东路46号,11088
凤凰名城,在售,住宅,青白江/青白江/华金大道三段55号（大弯中学旁）,7300
希望未来城,在售,住宅,金堂/金堂/三星镇三星镇学府大道555号（四川天一学院旁）,6300
融创长滩壹号,在售,别墅,双流/文星镇/川大路二段1号（四川大学江安校区旁）,16300
中国铁建广场,在售,写字楼,成华/理工大/新成华大道三段与东华一路交汇口,12800
富豪公馆,在售,住宅,新都/新都城区/兴乐北路600号,12100
太行朗诗金沙城,在售,住宅,青羊/外金沙/百仁生态区内（三环路西四段）,20000
中房芳华美地,在售,住宅,温江/温江大学城/金府路666号,7000
雅居乐富春山居,在售,住宅,天府新区/雅居乐/麓山大道二段19号,19000
